km_support,pid,passed,supportactions,justified,charged,alignment
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
A little,Republican,Engaged Respondent,3,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Disengaged Respondent,3,1,0,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Disengaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Disengaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,3,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Disengaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Disengaged Respondent,1,0,1,Out-Party Shooter
A lot,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Republican,Disengaged Respondent,2,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
A little,Democrat,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,3,0,1,In-Party Shooter
A moderate amount,Democrat,Engaged Respondent,4,0,1,Out-Party Shooter
A great deal,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
A little,Republican,Engaged Respondent,2,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
A moderate amount,Democrat,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
A moderate amount,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
A moderate amount,Democrat,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Disengaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Disengaged Respondent,2,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
A little,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,3,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Republican,Disengaged Respondent,3,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,2,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
A moderate amount,Democrat,Disengaged Respondent,3,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,2,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
A moderate amount,Republican,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Disengaged Respondent,3,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,2,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,3,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,3,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Disengaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
A little,Republican,Engaged Respondent,3,1,0,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Disengaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
A great deal,Republican,Disengaged Respondent,5,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,3,0,1,In-Party Shooter
Not at all,Republican,Disengaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,3,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Disengaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Disengaged Respondent,3,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,2,0,1,In-Party Shooter
A great deal,Republican,Engaged Respondent,3,0,0,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
A moderate amount,Republican,Engaged Respondent,2,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Disengaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
A moderate amount,Democrat,Engaged Respondent,3,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Disengaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,4,0,0,In-Party Shooter
Not at all,Democrat,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,3,0,1,In-Party Shooter
Not at all,Democrat,Disengaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
A little,Republican,Disengaged Respondent,2,0,1,Out-Party Shooter
A moderate amount,Republican,Engaged Respondent,3,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
A lot,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Disengaged Respondent,3,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,3,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Disengaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,2,0,1,Out-Party Shooter
Not at all,Republican,Disengaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
A moderate amount,Democrat,Engaged Respondent,2,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
A little,Democrat,Disengaged Respondent,4,1,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
A moderate amount,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,2,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,3,1,0,In-Party Shooter
Not at all,Democrat,Engaged Respondent,2,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,3,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Disengaged Respondent,3,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Disengaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Disengaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
A little,Democrat,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,2,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Disengaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Republican,Disengaged Respondent,3,1,0,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
A great deal,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
A little,Republican,Engaged Respondent,3,1,0,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
A little,Republican,Disengaged Respondent,4,0,0,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,1,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Disengaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Disengaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
A little,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Disengaged Respondent,2,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,3,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,2,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,3,1,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,2,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
A little,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Disengaged Respondent,3,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
A great deal,Democrat,Disengaged Respondent,3,0,1,In-Party Shooter
Not at all,Republican,Disengaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,2,0,1,In-Party Shooter
A great deal,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
A little,Democrat,Engaged Respondent,3,1,0,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Disengaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,3,0,1,In-Party Shooter
Not at all,Republican,Disengaged Respondent,3,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
A little,Republican,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,2,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,2,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Disengaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,2,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
A lot,Republican,Engaged Respondent,2,0,1,In-Party Shooter
A little,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
A moderate amount,Democrat,Engaged Respondent,3,0,1,In-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,2,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Disengaged Respondent,2,0,1,Out-Party Shooter
A moderate amount,Democrat,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,In-Party Shooter
A little,Democrat,Engaged Respondent,2,0,1,In-Party Shooter
A moderate amount,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
Not at all,Democrat,Engaged Respondent,1,0,1,In-Party Shooter
A moderate amount,Republican,Engaged Respondent,1,0,1,In-Party Shooter
Not at all,Republican,Disengaged Respondent,3,1,0,Out-Party Shooter
Not at all,Republican,Engaged Respondent,1,0,1,Out-Party Shooter
A moderate amount,Democrat,Engaged Respondent,1,1,1,Out-Party Shooter
